sse,iteration
390061.2641690639,1
308591.37018517416,2
247699.14948875067,3
202104.17326953384,4
167887.40658595788,5
142139.66545186855,6
122700.9018945638,7
107966.84461796375,8
96745.58934049949,9
88151.23138095686,10
81524.9688920211,11
76376.57880076577,12
72341.00184617865,13
69146.13334826374,14
66588.925034113,15
64517.65124598684,16
62818.7475425719,17
61407.0410402176,18
60218.496875526005,19
59204.83137777192,20
58329.51029201108,21
57564.77479863091,22
56889.43033517422,23
56287.20164880389,24
55745.50825301912,25
55254.55209831784,26
54806.637180942824,27
54395.66151869525,28
54016.73728089084,29
53665.90625229472,30
53339.9262627368,31
53036.110484784615,32
52752.20615473004,33
52486.30272504575,34
52236.76201925408,35
52002.164862626174,36
51781.27007473639,37
51572.98275904538,38
51376.32960413602,39
51190.43949052985,40
51014.52812775341,41
50847.8857667801,42
50689.86727153252,43
50539.88401086517,44
50397.39716498679,45
50261.912139229564,46
50132.973852042516,47
50010.16271946901,48
49893.09119991513,49
49781.40079425178,50
49674.75941983936,51
49572.85909486898,52
49475.41388292656,53
49382.15805798312,54
49292.844457901825,55
49207.243000623006,56
49125.13934189585,57
49046.33365709517,58
48970.63953254988,59
48897.882954097884,60
48827.901382414304,61
48760.54290613801,62
48695.66546502775,63
48633.136136372166,64
48572.83047870403,65
48514.63192756218,66
48458.43123863265,67
48404.12597410283,68
48351.62002849535,69
48300.82319062474,70
48251.650738648386,71
48204.0230654724,72
48157.86533202926,73
48113.10714617069,74
48069.68226512219,75
48027.52831962747,76
47986.58655807414,77
47946.80160903839,78
47908.121260820306,79
47870.496256660495,80
47833.880104438285,81
47798.22889975094,82
47763.501161362394,83
47729.65767809334,84
47696.66136629802,85
47664.47713714241,86
47633.07177295989,87
47602.41381201843,88
47572.47344108482,89
47543.22239521969,90
47514.63386428088,91
47486.68240565288,92
47459.34386275662,93
47432.59528892874,94
47406.41487628949,95
47380.78188924787,96
47355.676602318475,97
47331.08024194933,98
47306.97493208147,99
47283.34364318263,100
47260.17014451561,101
47237.438959419436,102
47215.135323398354,103
47193.24514482735,104
47171.754968097695,105
47150.65193903822,106
47129.923772460024,107
47109.55872168255,108
47089.54554991027,109
47069.87350333688,110
47050.53228586394,111
47031.51203532795,112
47012.80330113767,113
46994.397023230136,114
46976.2845122602,115
46958.45743094409,116
46940.90777648377,117
46923.627864002294,118
46906.6103109269,119
46889.848022259706,120
46873.33417668011,121
46857.062213427314,122
46841.02581991387,123
46825.21892002573,124
46809.63566306591,125
46794.27041330255,126
46779.117740084475,127
46764.172408490034,128
46749.429370476486,129
46734.883756500654,130
46720.530867581765,131
46706.366167781205,132
46692.38527707358,133
46678.583964586716,134
46664.95814218882,135
46651.50385840259,136
46638.2172926274,137
46625.094749651646,138
46612.13265443917,139
46599.32754717353,140
46586.67607854602,141
46574.17500527348,142
46561.82118583316,143
46549.611576402676,144
46537.5432269934,145
46525.61327776719,146
46513.81895552579,147
46502.157570364376,148
46490.626512479575,149
46479.22324912416,150
46467.9453217007,151
46456.79034298649,152
46445.755994482985,153
46434.84002388353,154
46424.04024265277,155
46413.35452371238,156
46402.780799227556,157
46392.31705848906,158
46381.961345886215,159
46371.71175896605,160
46361.56644657451,161
46351.5236070754,162
46341.58148664387,163
46331.738377630005,164
46321.99261698948,165
46312.34258477851,166
46302.78670270915,167
46293.32343276288,168
46283.95127585918,169
46274.668770576835,170
46265.47449192556,171
46256.367050165296,172
46247.34508967143,173
46238.40728784348,174
46229.55235405547,175
46220.77902864633,176
46212.086081948015,177
46203.4723133501,178
46194.93655039934,179
46186.47764793223,180
46178.09448723939,181
46169.785975260726,182
46161.55104380935,183
46153.388648823675,184
46145.297769646226,185
46137.277408328155,186
46129.326588958094,187
46121.44435701494,188
46113.629778742885,189
46105.88194054855,190
46098.199948418485,191
46090.58292735703,192
46083.030020843195,193
46075.540390306014,194
46068.11321461757,195
46060.74768960304,196
46053.443027567286,197
46046.19845683687,198
46039.013221317466,199
46031.886580065715,200
46024.81780687499,201
46017.80618987493,202
46010.85103114357,203
46003.951646332316,204
45997.10736430272,205
45990.31752677499,206
45983.581487987525,207
45976.89861436739,208
45970.268284210986,209
45963.68988737494,210
45957.162824976396,211
45950.68650910273,212
45944.26036253042,213
45937.883818452145,214
45931.556320212694,215
45925.27732105265,216
45919.04628385995,217
45912.86268092909,218
45906.72599372726,219
45900.635712667994,220
45894.591336891,221
45888.59237404911,222
45882.63834010112,223
45876.72875911099,224
45870.86316305291,225
45865.04109162204,226
45859.26209205068,227
45853.52571893009,228
45847.83153403712,229
45842.17910616612,230
45836.56801096545,231
45830.99783077891,232
45825.46815449151,233
45819.978577379705,234
45814.52870096585,235
45809.118132876814,236
45803.746486706485,237
45798.41338188217,238
45793.1184435348,239
45787.861302372534,240
45782.64159455817,241
45777.45896158957,242
45772.31305018384,243
45767.20351216414,244
45762.13000435,245
45757.09218845061,246
45752.08973096058,247
45747.12230305908,248
45742.18958051126,249
45737.29124357266,250
45732.42697689573,251
45727.59646943938,252
45722.79941438044,253
45718.035509027766,254
45713.30445473855,255
45708.60595683663,256
45703.9397245333,257
45699.305470849766,258
45694.702912541936,259
45690.131770027016,260
45685.591767311984,261
45681.082631923884,262
45676.6040948421,263
45672.155890432005,264
45667.73775638056,265
45663.34943363355,266
45658.990666334095,267
45654.6612017631,268
45650.36079028091,269
45646.08918527055,270
45641.84614308226,271
45637.631422979524,272
45633.44478708638,273
45629.2860003359,274
45625.15483042017,275
45621.05104774114,276
45616.97442536306,277
45612.92473896568,278
45608.90176679893,279
45604.90528963829,280
45600.93509074158,281
45596.990955806585,282
45593.07267292962,283
45589.180032565244,284
45585.31282748682,285
45581.47085274791,286
45577.65390564474,287
45573.8617856794,288
45570.094294523835,289
45566.35123598493,290
45562.63241596996,291
45558.937642453246,292
45555.26672544332,293
45551.619476950764,294
45547.99571095712,295
45544.39524338396,296
45540.8178920631,297
45537.26347670731,298
45533.73181888148,299
45530.22274197481,300
45526.73607117309,301
45523.27163343212,302
45519.82925745123,303
45516.408773647716,304
45513.01001413155,305
45509.632812680764,306
45506.27700471741,307
45502.94242728383,308
45499.62891901957,309
