sse,iteration
203137.85205479362,1
203134.20076492676,2
203130.54960896587,3
203126.8985869058,4
203123.2476987415,5
203119.5969444682,6
203115.9463240808,7
203112.29583757432,8
203108.64548494385,9
203104.99526618433,10
203101.34518129076,11
203097.69523025834,12
203094.04541308183,13
203090.39572975648,14
203086.74618027706,15
203083.09676463885,16
203079.44748283672,17
203075.79833486566,18
203072.14932072087,19
203068.5004403973,20
203064.85169388985,21
203061.20308119358,22
203057.5546023036,23
203053.90625721487,24
203050.25804592244,25
203046.60996842122,26
203042.96202470647,27
203039.3142147731,28
203035.666538616,29
203032.0189962302,30
203028.37158761092,31
203024.72431275313,32
203021.07717165185,33
203017.430164302,34
203013.78329069848,35
203010.13655083673,36
203006.4899447115,37
203002.8434723178,38
202999.19713365068,39
202995.5509287052,40
202991.9048574765,41
202988.25891995933,42
202984.61311614898,43
202980.96744604025,44
202977.3219096284,45
202973.67650690826,46
202970.03123787497,47
202966.38610252342,48
202962.74110084883,49
202959.09623284615,50
202955.4514985103,51
202951.8068978364,52
202948.16243081947,53
202944.51809745462,54
202940.8738977367,55
202937.22983166078,56
202933.58589922203,57
202929.9421004154,58
202926.29843523583,59
202922.65490367846,60
202919.01150573837,61
202915.36824141035,62
202911.7251106896,63
202908.08211357123,64
202904.43925005005,65
202900.79652012122,66
202897.15392377984,67
202893.51146102074,68
202889.8691318392,69
202886.22693623003,70
202882.5848741883,71
202878.94294570913,72
202875.30115078756,73
202871.65948941844,74
202868.017961597,75
202864.3765673182,76
202860.73530657703,77
202857.0941793687,78
202853.45318568806,79
202849.81232553005,80
202846.17159888995,81
202842.5310057626,82
202838.89054614314,83
202835.2502200266,84
202831.61002740797,85
202827.96996828227,86
202824.3300426446,87
202820.69025048992,88
202817.0505918134,89
202813.41106660987,90
202809.7716748745,91
202806.13241660234,92
202802.4932917883,93
202798.8543004276,94
202795.21544251498,95
202791.57671804578,96
202787.93812701484,97
202784.2996694174,98
202780.66134524823,99
202777.02315450262,100
202773.38509717546,101
202769.74717326186,102
202766.10938275667,103
202762.47172565508,104
202758.83420195218,105
202755.1968116429,106
202751.5595547224,107
202747.92243118567,108
202744.2854410275,109
